,review,score,source,cleaned_review,cleaned_reduced_review,cleaned_review_length
1207,"It probably would have been better if the director hadn't spent most of the movie showcasing his own art work, which really isn't that noteworthy.  ",0,imdb,It probably would have been better if the director hadnt spent most of the movie showcasing his own art work which really isnt that noteworthy  ,probably would better director hadnt spent movie showcasing art work really isnt noteworthy,25
1208,"Another thing I didn't really like is when a character got punched in the face, a gallon of blood would spew forth soon after.  ",0,imdb,Another thing I didnt really like is when a character got punched in the face a gallon of blood would spew forth soon after  ,another thing didnt really like character got punched face gallon blood would spew forth soon,24
1209,Jamie Foxx absolutely IS Ray Charles.  ,1,imdb,Jamie Foxx absolutely IS Ray Charles  ,jamie foxx absolutely ray charles,6
1210,His performance is simply genius.  ,1,imdb,His performance is simply genius  ,performance simply genius,5
1211,"He owns the film, just as Spacek owned ""Coal Miner's Daughter"" and Quaid owned ""Great Balls of Fire.  ",1,imdb,He owns the film just as Spacek owned Coal Miners Daughter and Quaid owned Great Balls of Fire  ,owns film spacek owned coal miners daughter quaid owned great balls fire,18
1212,"In fact, it's hard to remember that the part of Ray Charles is being acted, and not played by the man himself.  ",1,imdb,In fact its hard to remember that the part of Ray Charles is being acted and not played by the man himself  ,fact hard remember part ray charles acted played man,22
1213,Ray Charles is legendary.  ,1,imdb,Ray Charles is legendary  ,ray charles legendary,4
1214,"Ray Charles' life provided excellent biographical material for the film, which goes well beyond being just another movie about a musician.  ",1,imdb,Ray Charles life provided excellent biographical material for the film which goes well beyond being just another movie about a musician  ,ray charles life provided excellent biographical material film goes well beyond another movie musician,21
1215,Hitchcock is a great director.  ,1,imdb,Hitchcock is a great director  ,hitchcock great director,5
1216,Ironically I mostly find his films a total waste of time to watch.  ,0,imdb,Ironically I mostly find his films a total waste of time to watch  ,ironically mostly find films total waste time watch,13
1217,"Secondly, Hitchcock pretty much perfected the thriller and chase movie.  ",1,imdb,Secondly Hitchcock pretty much perfected the thriller and chase movie  ,secondly hitchcock pretty much perfected thriller chase movie,10
1218,It's this pandering to the audience that sabotages most of his films.  ,0,imdb,Its this pandering to the audience that sabotages most of his films  ,pandering audience sabotages films,12
1219,Hence the whole story lacks a certain energy.  ,0,imdb,Hence the whole story lacks a certain energy  ,hence whole story lacks certain energy,8
1220,"The plot simply rumbles on like a machine, desperately depending on the addition of new scenes.  ",0,imdb,The plot simply rumbles on like a machine desperately depending on the addition of new scenes  ,plot simply rumbles like machine desperately depending addition new scenes,16
1221,There are the usual Hitchcock logic flaws.  ,0,imdb,There are the usual Hitchcock logic flaws  ,usual hitchcock logic flaws,7
1222,Mishima is extremely uninteresting.  ,0,imdb,Mishima is extremely uninteresting  ,mishima extremely uninteresting,4
1223,"This is a chilly, unremarkable movie about an author living/working in a chilly abstruse culture.  ",0,imdb,This is a chilly unremarkable movie about an author livingworking in a chilly abstruse culture  ,chilly unremarkable movie author livingworking chilly abstruse culture,15
1224,The flat reenactments don't hold your attention because they are emotionally adrift and stagy.  ,0,imdb,The flat reenactments dont hold your attention because they are emotionally adrift and stagy  ,flat reenactments dont hold attention emotionally adrift stagy,14
1225,"And the rest of it just sits there being awful... with soldiers singing songs about the masculinity they pledge themselves to, hairsplitting about purity, the admiration of swords, etc.  ",0,imdb,And the rest of it just sits there being awful with soldiers singing songs about the masculinity they pledge themselves to hairsplitting about purity the admiration of swords etc  ,rest sits awful soldiers singing songs masculinity pledge hairsplitting purity admiration swords etc,29
1226,"He can bore you to pieces, and kill the momentum of a movie, quicker than anyone else.  ",0,imdb,He can bore you to pieces and kill the momentum of a movie quicker than anyone else  ,bore pieces kill momentum movie quicker anyone else,17
1227,"Schrader has made a resume full of lousy, amateurish films.  ",0,imdb,Schrader has made a resume full of lousy amateurish films  ,schrader made resume full lousy amateurish films,10
1228,"When I first watched this movie, in the 80s, I loved it.  ",1,imdb,When I first watched this movie in the 80s I loved it  ,first watched movie 80s loved,12
1229,"I was totally fascinated by the music, the dancing... everything.  ",1,imdb,I was totally fascinated by the music the dancing everything  ,totally fascinated music dancing everything,10
1230,"However, I recently watched the whole thing again on DVD, and I was completely struck by how extremely stupid the storyline was - how it contained holes, inconsistencies and - frankly - a whole lot of crap - and how horrid the dancing was.  ",0,imdb,However I recently watched the whole thing again on DVD and I was completely struck by how extremely stupid the storyline was  how it contained holes inconsistencies and  frankly  a whole lot of crap  and how horrid the dancing was  ,however recently watched whole thing dvd completely struck extremely stupid storyline contained holes inconsistencies frankly whole lot crap horrid dancing,40
1231,"I mean, in a realistic world, she would NEVER have gotten into that ballet repertory... The whole thing was quite pathetic.  ",0,imdb,I mean in a realistic world she would NEVER have gotten into that ballet repertory The whole thing was quite pathetic  ,mean realistic world would never gotten ballet repertory whole thing quite pathetic,21
1232,The character developments also lacked in depth.  ,0,imdb,The character developments also lacked in depth  ,character developments also lacked depth,7
1233,"Woa, talk about awful.  ",0,imdb,Woa talk about awful  ,woa talk awful,4
1234,Do not waste your time.  ,0,imdb,Do not waste your time  ,waste time,5
1235,It was just too horrible.  ,0,imdb,It was just too horrible  ,horrible,5
1236,"The worst, sappiest dialogue... I could go on and on.  ",0,imdb,The worst sappiest dialogue I could go on and on  ,worst sappiest dialogue could go,10
1237,But what really made it unwatchable was the direction.  ,0,imdb,But what really made it unwatchable was the direction  ,really made unwatchable direction,9
1238,The poor actors.  ,0,imdb,The poor actors  ,poor actors,3
1239,You can't even tell if they have any talent because they not only have pathetic lines to speak but the director gave them no action.  ,0,imdb,You cant even tell if they have any talent because they not only have pathetic lines to speak but the director gave them no action  ,cant even tell talent pathetic lines speak director gave action,25
1240,If you check the director's filmography on this site you will see why this film didn't have a chance.  ,0,imdb,If you check the directors filmography on this site you will see why this film didnt have a chance  ,check directors filmography site see film didnt chance,19
1241,This would not even be good as a made for TV flick.  ,0,imdb,This would not even be good as a made for TV flick  ,would even good made tv flick,12
1242,"If good intentions made a film great, then this film might be one of the greatest films ever made.  ",1,imdb,If good intentions made a film great then this film might be one of the greatest films ever made  ,good intentions made film great film might one greatest films ever made,19
